"startup_id","industry","country","year_founded","years_since_founding","funding_rounds","total_funding_m","annual_revenue_m","team_size","valuation_m"
"ST0058","AI/ML","USA",2008,16,5,597.24,3.46,170,2127.75
"ST0059","AI/ML","Germany",2008,16,1,8.95,26.36,533,240.89
"ST0060","FinTech","USA",2003,21,6,547.89,12.88,293,1396.05
"ST0061","EdTech","USA",2012,12,5,89.53,13.32,564,195.03
"ST0062","BioTech","UK",2000,24,5,196.2,68.94,500,865.53
"ST0063","BioTech","USA",2020,4,5,294.63,178.7,626,920.8
"ST0064","E-Commerce","USA",2012,12,8,364.35,111.56,403,1100.53
"ST0065","BioTech","Israel",2010,14,4,20.35,0.1,62,168.61
"ST0066","SaaS","India",2011,13,8,404.16,NA,244,1923.58
"ST0067","SaaS","UK",2013,11,5,230.25,161.38,152,747.35
"ST0068","CleanTech","UK",2021,3,8,128.43,32.64,193,402.72
"ST0069","SaaS","UK",2000,24,6,499.97,13.33,313,1178.01
"ST0070","E-Commerce","USA",2014,10,7,193.09,23.37,134,393.89
"ST0071","AI/ML","UK",2000,24,3,211.54,0.12,244,561.19
"ST0072","SaaS","India",2009,15,3,187.06,6.78,NA,369
"ST0073","SaaS","UK",2006,18,7,175.89,14.45,424,500.07
"ST0074","BioTech","USA",2006,18,6,90.18,6.1,190,288.32
"ST0075","E-Commerce","USA",2007,17,3,116.95,18.06,411,366.97
"ST0076","AI/ML","UK",2011,13,7,564.11,124.2,677,2495.15
"ST0077","FinTech","USA",2021,3,5,296.5,59.24,774,1240.22
"ST0078","FinTech","India",2010,14,6,74.64,NA,436,640.26
"ST0079","SaaS","UK",2016,8,2,37.92,40.58,214,285.1
"ST0080","EdTech","Brazil",2009,15,3,35.81,48.74,793,115.27
"ST0081","CleanTech","Germany",2015,9,6,691.93,45.84,NA,1737.57
"ST0082","E-Commerce","India",2003,21,3,160.65,41.48,592,394.71
"ST0083","AI/ML","India",2021,3,5,151.49,3.07,272,1027.66
"ST0084","BioTech","Singapore",2009,15,6,95.67,3.18,488,661.14
"ST0085","AI/ML","Israel",2013,11,2,85.64,1.66,488,579.24
"ST0086","EdTech","USA",2012,12,4,144.29,12.18,156,302.99
"ST0087","BioTech","USA",2012,12,3,116.04,5.52,503,489.17
"ST0088","HealthTech","USA",2007,17,4,81.67,6.99,5,300.95
"ST0089","EdTech","USA",2014,10,7,135.15,48.59,580,696.45
"ST0090","EdTech","USA",2011,13,7,507.02,72.18,460,460.85
"ST0091","AI/ML","India",2009,15,7,282.78,117.08,482,2596.59
"ST0092","HealthTech","Canada",2012,12,5,119.05,35.92,403,375.57
"ST0093","E-Commerce","Germany",2010,14,5,185.67,24.27,445,368.41
"ST0094","AI/ML","UK",2005,19,6,330.23,95.77,412,1077.53
"ST0095","SaaS","India",2008,16,4,81.84,11.34,399,585.41
"ST0096","E-Commerce","Brazil",2001,23,3,97.03,2.58,555,344.19
"ST0097","EdTech","India",2012,12,2,127.18,8.12,267,245.47
"ST0098","EdTech","Israel",2011,13,1,55.14,7,NA,113.58
"ST0099","E-Commerce","Germany",2009,15,8,152.07,1.01,104,399.61
"ST0100","EdTech","India",2021,3,3,1191.78,41.97,628,1212.11
"ST0101","BioTech","Canada",2021,3,6,311.81,21.33,407,988.08
"ST0102","CleanTech","India",2018,6,8,201.13,125.71,616,514.59
"ST0103","EdTech","USA",2019,5,4,47.25,28.44,587,167.33
"ST0104","FinTech","Brazil",2014,10,7,724.99,50.39,680,2279.11
"ST0105","BioTech","Canada",2014,10,4,147.69,5.19,333,418.24
"ST0106","E-Commerce","USA",2000,24,7,216.87,49.79,567,571.59
"ST0107","HealthTech","India",2007,17,4,111.59,5.92,150,378.98
"ST0108","BioTech","USA",2008,16,4,94.89,69.39,614,415.63
"ST0109","BioTech","USA",2017,7,7,403.22,11.75,318,1498.14
"ST0110","FinTech","Singapore",2014,10,7,336,NA,95,1163.07
"ST0111","HealthTech","Singapore",2007,17,3,105.73,8.36,45,283.12
"ST0112","AI/ML","UK",2012,12,6,337.16,13.66,527,1678.86
"ST0113","BioTech","Singapore",2013,11,4,156.07,87.75,747,539.55
"ST0114","AI/ML","Germany",2013,11,5,255.92,19.69,790,1703.38
"ST0115","FinTech","UK",2021,3,3,50.21,11.87,445,563.47
"ST0116","HealthTech","USA",2009,15,4,61.46,20.47,520,223.84
"ST0117","BioTech","Germany",2010,14,4,188.88,7.9,121,444.92
"ST0118","HealthTech","UK",2012,12,7,942.2,89.26,798,2522.34
"ST0119","HealthTech","India",2011,13,1,76.61,13.9,321,286.39
"ST0120","EdTech","UK",2014,10,6,451.09,9.16,460,500.55
"ST0121","SaaS","Germany",2019,5,2,21.28,33.1,NA,225.35
"ST0122","BioTech","Canada",2007,17,2,138.18,12.72,636,697.29
"ST0123","CleanTech","UK",2017,7,3,397.08,31.6,276,564.49
"ST0124","BioTech","India",2016,8,2,57,28,344,192.17
"ST0125","SaaS","UK",2017,7,5,147.08,7.06,292,607.16
"ST0126","EdTech","USA",2019,5,3,68.82,22.52,641,301.23
"ST0127","SaaS","India",2002,22,4,73.95,21.12,309,407.22
"ST0128","HealthTech","UK",2011,13,2,46.14,22.66,363,180.17
"ST0129","CleanTech","Germany",2001,23,3,34.02,25.48,488,230.54
"ST0130","CleanTech","USA",2008,16,5,163.75,NA,476,554.34
"ST0131","BioTech","UK",2020,4,5,254.38,8.88,664,878.3
"ST0132","EdTech","USA",2015,9,3,93.42,31.71,177,305.78
"ST0133","EdTech","UK",2016,8,4,164.49,5.04,196,390.42
"ST0134","EdTech","UK",2003,21,7,948.8,109.66,486,832.14
"ST0135","EdTech","USA",2015,9,8,357.2,79.81,763,383.29
"ST0136","HealthTech","USA",2001,23,6,42.4,6.87,32,137.7
"ST0137","E-Commerce","India",2001,23,3,227.5,3.65,240,320.25
"ST0138","CleanTech","USA",2019,5,5,524.57,56.03,619,1962.92
"ST0139","SaaS","USA",2000,24,5,135.41,35.45,505,482.05
"ST0140","CleanTech","India",2001,23,6,217.68,81.88,293,408.29
"ST0141","E-Commerce","USA",2021,3,6,61.42,3.97,515,271.19
"ST0142","FinTech","USA",2012,12,3,163.49,NA,287,812.9
"ST0143","FinTech","Singapore",2017,7,3,161.65,0.35,5,641.09
"ST0144","HealthTech","UK",2020,4,7,289.68,12.17,44,381.39
"ST0145","CleanTech","USA",2000,24,6,79.22,35.3,341,241.41
"ST0146","AI/ML","India",2007,17,6,164.76,36.35,216,1098.41
"ST0147","CleanTech","USA",2003,21,6,80.41,NA,5,131.42
"ST0148","BioTech","Singapore",2014,10,4,71.56,85.22,540,469.31
"ST0149","SaaS","Germany",2015,9,4,1141.7,NA,397,1660.04
"ST0150","BioTech","Germany",2006,18,3,58.25,34.53,533,558.33
"ST0151","SaaS","UK",2012,12,5,145.65,209.8,463,606.56
"ST0152","EdTech","India",2009,15,1,80.17,3.05,413,129.81
"ST0153","FinTech","USA",2003,21,6,651.59,6.54,273,1192.95
"ST0154","HealthTech","UK",2015,9,4,201.33,81.34,329,627.51
"ST0155","SaaS","Israel",2005,19,4,574.91,110.71,675,1662.16
"ST0156","AI/ML","Israel",2003,21,2,83.27,8.11,435,1034.34
"ST0157","HealthTech","USA",2010,14,5,523.21,22.61,165,952.01
"ST0158","E-Commerce","USA",2016,8,4,94.78,7.78,239,153.21
"ST0159","FinTech","Germany",2016,8,3,47.08,15.25,5,938.6
"ST0160","BioTech","USA",2015,9,6,129.16,388.4,798,1007.87
"ST0161","E-Commerce","UK",2018,6,7,199.21,NA,314,469.95
"ST0162","BioTech","Brazil",2006,18,5,40.18,10.14,191,624.71
"ST0163","FinTech","Singapore",2004,20,7,205.59,40.8,106,1056.15
"ST0164","CleanTech","Singapore",2011,13,4,346.59,34.71,622,848.41
"ST0165","FinTech","Germany",2011,13,4,348.09,113.58,722,1416.74
"ST0166","EdTech","Canada",2002,22,7,391.95,51.33,252,547.99
"ST0167","E-Commerce","India",2009,15,3,21.22,NA,329,168.49
"ST0168","AI/ML","Singapore",2002,22,8,181.79,47.05,519,1596.29
"ST0169","BioTech","India",2011,13,2,132.96,25.56,179,650.28
"ST0170","SaaS","USA",2009,15,6,531.18,160.08,196,1171.87
"ST0171","CleanTech","USA",2019,5,6,176.91,55.79,603,417.21
"ST0172","CleanTech","USA",2006,18,3,314.03,27.44,470,451.16
"ST0173","CleanTech","Singapore",2009,15,2,43.13,NA,435,238.32
"ST0174","SaaS","Brazil",2007,17,7,559.42,12.49,388,1227.77
"ST0175","AI/ML","India",2019,5,5,416.78,102.51,725,1091.37
"ST0176","CleanTech","Israel",2010,14,3,165.9,8.33,5,619.15
"ST0177","CleanTech","India",2018,6,2,64.71,56.5,218,336.35
"ST0178","BioTech","India",2004,20,7,884.35,40.9,684,1892.05
"ST0179","HealthTech","Germany",2009,15,3,126.02,13.09,317,785.44
"ST0180","E-Commerce","USA",2003,21,6,375.08,NA,278,680.31
"ST0181","BioTech","India",2001,23,6,297.59,14.2,404,585.49
"ST0182","E-Commerce","Canada",2019,5,2,37.69,13.09,5,159.59
"ST0183","BioTech","USA",2016,8,3,200.1,44.25,524,680.69
"ST0184","EdTech","India",2002,22,5,127.78,17.26,221,404.84
"ST0185","HealthTech","Germany",2001,23,4,75.85,40.11,616,254.04
"ST0186","EdTech","UK",2021,3,4,19.25,0.1,547,113.08
"ST0187","BioTech","UK",2016,8,5,229.24,38.76,406,1196.1
"ST0188","E-Commerce","India",2016,8,6,186.19,35.25,372,451.23
"ST0189","SaaS","Israel",2021,3,5,71.74,4.9,421,414.48
"ST0190","EdTech","USA",2008,16,4,11.03,26.54,349,61.31
"ST0191","E-Commerce","Singapore",2008,16,6,238.58,3.71,314,400.67
"ST0192","E-Commerce","UK",2005,19,4,184.26,0.78,97,293.06
"ST0193","AI/ML","UK",2017,7,5,402.78,23.32,594,2466.07
"ST0194","EdTech","USA",2003,21,4,82.7,1.52,289,210.83
"ST0195","CleanTech","India",2016,8,5,82.76,9.72,166,348.05
"ST0196","E-Commerce","UK",2004,20,6,896.52,NA,NA,936.51
"ST0197","CleanTech","USA",2010,14,6,129.6,10.95,632,363.44
"ST0198","EdTech","Brazil",2007,17,7,112.66,5.4,5,182.52
"ST0199","E-Commerce","USA",2014,10,8,815.38,20.45,532,1477.54
"ST0200","EdTech","USA",2021,3,3,213.34,33.71,259,394.77
"ST0201","SaaS","USA",2011,13,3,21.23,12.27,236,186.32
"ST0202","E-Commerce","USA",2021,3,5,207.3,35.57,421,451.1
"ST0203","BioTech","Israel",2016,8,4,546.87,19.75,303,935.52
"ST0204","EdTech","India",2019,5,8,967.2,19.61,736,1376.11
"ST0205","CleanTech","Germany",2001,23,3,88.97,12,35,328.01
"ST0206","HealthTech","UK",2012,12,4,116.25,1.37,300,436.89
"ST0207","FinTech","USA",2004,20,6,22.41,46.93,279,312.88
"ST0208","E-Commerce","India",2020,4,4,188.34,24.59,193,485.94
"ST0209","FinTech","India",2018,6,3,137.66,43.69,534,849.9
"ST0210","HealthTech","India",2011,13,4,101.97,4.65,253,343.31
"ST0211","AI/ML","Brazil",2012,12,2,39.26,15.03,216,280.07
"ST0212","FinTech","India",2001,23,6,1551.49,57.87,704,2065.73
"ST0213","CleanTech","UK",2019,5,5,211.32,18.62,86,310.12
"ST0214","BioTech","USA",2019,5,4,314.63,30.19,401,1317.8
"ST0215","FinTech","Israel",2014,10,6,252.49,113.01,489,1200.22
"ST0216","E-Commerce","USA",2017,7,6,137.91,NA,NA,311.39
"ST0217","AI/ML","USA",2007,17,5,708.23,51.32,698,3283.9
"ST0218","E-Commerce","USA",2018,6,6,148.88,47.59,446,365.82
"ST0219","FinTech","India",2004,20,2,186.9,2.49,275,1047.95
"ST0220","HealthTech","Germany",2008,16,3,74.87,2.88,60,361.53
"ST0221","FinTech","India",2016,8,4,312.17,181.91,706,1024.14
"ST0222","EdTech","USA",2001,23,5,155.6,12.72,623,426.87
"ST0223","EdTech","USA",2012,12,5,81.82,58.32,328,179.37
"ST0224","E-Commerce","USA",2007,17,3,132.66,26.64,509,446.06
"ST0225","CleanTech","Israel",2013,11,4,50.68,NA,534,251.32
"ST0226","AI/ML","USA",2010,14,3,109.22,452.71,482,770.49
"ST0227","E-Commerce","Singapore",2015,9,5,218.43,49.45,478,506.83
"ST0228","FinTech","Brazil",2003,21,4,160.65,NA,NA,701.87
"ST0229","HealthTech","USA",2010,14,7,125.73,9.69,9,398.55
"ST0230","AI/ML","Israel",2010,14,5,818.58,41.3,NA,4409.58
"ST0231","AI/ML","USA",2002,22,1,65.85,13.48,489,336.18
"ST0232","HealthTech","USA",2012,12,6,359.67,16.59,388,1106.19
"ST0233","FinTech","USA",2017,7,2,91.59,2.14,440,445.54
"ST0234","EdTech","Germany",2019,5,1,225.54,5.93,376,313.81
"ST0235","FinTech","USA",2016,8,3,132.14,29.35,308,791.39
"ST0236","E-Commerce","USA",2017,7,3,296.89,12.55,421,390.74
"ST0237","BioTech","USA",2008,16,5,438.24,15.37,374,1777.22
"ST0238","CleanTech","India",2003,21,5,151.45,9.15,258,447.86
"ST0239","BioTech","USA",2010,14,6,235.63,64.91,789,945.04
"ST0240","CleanTech","India",2003,21,3,54.68,9.08,353,522.22
"ST0241","SaaS","USA",2006,18,2,146.85,23.48,145,381.68
"ST0242","E-Commerce","USA",2001,23,7,153.62,186.68,665,471.61
"ST0243","CleanTech","Canada",2003,21,5,435.33,17.58,314,714.42
"ST0244","AI/ML","Germany",2014,10,5,402.33,3.64,227,637.61
"ST0245","EdTech","USA",2020,4,3,34.42,0.1,154,143.08
"ST0246","SaaS","India",2007,17,6,1772.72,165.07,575,2151.61
"ST0247","AI/ML","USA",2005,19,6,870.16,19.51,524,2601.47
"ST0248","E-Commerce","Canada",2010,14,3,397.39,50.31,266,720.57
"ST0249","FinTech","Germany",2016,8,6,263.97,9.53,NA,1071.98
"ST0250","HealthTech","USA",2008,16,2,77.83,13.22,215,409.23
"ST0251","E-Commerce","Canada",2012,12,2,24.59,1.7,223,131.85
"ST0252","BioTech","USA",2006,18,3,144.67,19.69,302,716.2
"ST0253","HealthTech","UK",2014,10,3,184.8,14.11,487,453.8
"ST0254","BioTech","Brazil",2014,10,6,159.31,11.66,537,848.8
"ST0255","HealthTech","UK",2001,23,5,234.89,1.74,63,288.64
"ST0256","E-Commerce","Canada",2006,18,3,68.97,21.19,359,168.71
"ST0257","HealthTech","USA",2019,5,3,195.79,16.84,459,652.3
"ST0258","SaaS","USA",2011,13,3,68.44,60.67,305,369.26
"ST0259","SaaS","India",2002,22,4,64.6,NA,561,300.77
"ST0260","SaaS","India",2006,18,3,167.02,40.65,254,906.5
"ST0261","HealthTech","Germany",2014,10,8,1106.35,NA,485,1494.92
"ST0262","EdTech","UK",2011,13,5,221.8,792.39,651,758.91
"ST0263","AI/ML","USA",2014,10,6,693.87,35.12,NA,2315.15
"ST0264","E-Commerce","USA",2006,18,3,26.36,5.66,363,169.78
"ST0265","FinTech","India",2019,5,7,90.21,35.81,404,496.23
"ST0266","HealthTech","USA",2001,23,5,198.58,47.35,175,674.72
"ST0267","FinTech","Canada",2011,13,6,295.75,42.87,264,929.2
"ST0268","EdTech","USA",2000,24,5,124.7,1.51,326,261.21
"ST0269","EdTech","USA",2006,18,1,13.1,0.1,177,35.38
"ST0270","E-Commerce","Singapore",2019,5,5,307,NA,461,666.88
"ST0271","EdTech","USA",2008,16,5,262.15,214.31,620,707.09
"ST0272","E-Commerce","USA",2002,22,3,150.89,13.02,308,197.6
"ST0273","E-Commerce","Germany",2013,11,2,122.27,55.01,293,172.92
"ST0274","E-Commerce","USA",2017,7,6,100.26,18.93,NA,303.44
"ST0275","EdTech","Canada",2003,21,4,32.35,55.78,357,153.78
"ST0276","SaaS","USA",2015,9,8,557.93,158.5,703,1197.5
"ST0277","AI/ML","USA",2019,5,4,302.84,13.15,73,698.51
"ST0278","AI/ML","Singapore",2015,9,2,171.41,7.62,574,1213.45
"ST0279","AI/ML","UK",2014,10,7,737.72,30.08,235,2000.58
"ST0280","SaaS","USA",2021,3,6,728.16,50.61,642,1386.41
"ST0281","CleanTech","Brazil",2015,9,6,315.98,3.7,211,811.42
"ST0282","HealthTech","USA",2004,20,4,26.22,27.25,347,338.34
"ST0283","BioTech","UK",2015,9,6,132.4,1.39,203,437.22
"ST0284","BioTech","India",2018,6,5,359.42,3.74,113,1001.24
"ST0285","AI/ML","Israel",2006,18,4,129.26,197.74,445,1014.73
"ST0286","SaaS","Israel",2017,7,4,222.89,50.31,403,584.44
"ST0287","CleanTech","USA",2007,17,7,3800.47,25.75,539,2812.25
"ST0288","FinTech","USA",2019,5,3,45.65,74.11,188,426.09
"ST0289","FinTech","USA",2000,24,1,77.87,3.24,68,697.18
"ST0290","BioTech","USA",2020,4,6,191.04,276.96,735,680.96
"ST0291","SaaS","Brazil",2018,6,5,241.09,68.62,597,819.05
"ST0292","BioTech","India",2007,17,5,151.32,108.6,561,736.03
"ST0293","SaaS","India",2011,13,2,85.52,96.39,273,372.8
"ST0294","FinTech","USA",2002,22,6,1249.61,54.27,434,2387.3
"ST0295","AI/ML","USA",2015,9,5,172.9,13.9,137,663.23
"ST0296","FinTech","India",2017,7,4,178.18,NA,315,301.19
"ST0297","CleanTech","USA",2018,6,2,125.71,2.8,5,252.2
"ST0298","HealthTech","USA",2017,7,6,691.55,7.46,269,1214.21
"ST0299","E-Commerce","UK",2005,19,5,185.82,10.55,511,350.85
"ST0300","EdTech","Germany",2020,4,1,60.25,14.48,115,160.66
"ST0301","BioTech","USA",2017,7,3,85.49,78.11,385,465.91
"ST0302","FinTech","USA",2009,15,5,217.8,221.59,578,1485.6
"ST0303","BioTech","India",2020,4,4,349.69,16.22,246,1332.51
"ST0304","EdTech","UK",2012,12,5,361.61,37.14,756,598.1
"ST0305","CleanTech","USA",2016,8,1,130.14,2.19,5,304.34
"ST0306","HealthTech","India",2014,10,4,149.42,19.37,663,463.74
"ST0307","AI/ML","USA",2010,14,6,474.25,9.68,444,1290.53
"ST0308","CleanTech","USA",2017,7,7,308.53,91.82,484,1161.52
"ST0309","FinTech","Canada",2017,7,5,67.23,32.98,558,595.08
"ST0310","SaaS","USA",2018,6,5,61.53,121.85,468,282.84
"ST0311","BioTech","USA",2014,10,3,483.27,NA,543,703.18
"ST0312","AI/ML","USA",2012,12,4,176.23,40.43,798,2061.69
"ST0313","FinTech","Germany",2020,4,4,126.34,5.91,597,845.9
"ST0314","FinTech","India",2019,5,6,33.03,13.3,352,208.75
"ST0315","EdTech","USA",2007,17,6,233.38,2.78,121,425.41
"ST0316","FinTech","UK",2016,8,6,98.14,25.31,114,884.46
"ST0317","BioTech","Singapore",2011,13,4,40.32,NA,201,425.16
"ST0318","EdTech","Israel",2019,5,3,260.7,27.32,485,412.57
"ST0319","CleanTech","USA",2016,8,2,123.72,5.65,355,205.94
"ST0320","E-Commerce","UK",2018,6,8,257.47,NA,798,755.01
"ST0321","HealthTech","Germany",2011,13,5,98.47,2.77,14,286.88
"ST0322","AI/ML","Canada",2016,8,4,666.26,16.46,560,2321.24
"ST0323","EdTech","Singapore",2020,4,4,56.45,56.8,424,317.62
"ST0324","CleanTech","USA",2000,24,3,248.97,45.36,373,746.46
"ST0325","HealthTech","Canada",2019,5,7,591.35,16.32,NA,1043.9
"ST0326","HealthTech","USA",2012,12,3,80.09,66.14,477,412.05
"ST0327","CleanTech","India",2020,4,5,276.21,NA,200,808.75
"ST0328","FinTech","USA",2011,13,6,349.12,5.33,5,1281.38
"ST0329","FinTech","Brazil",2001,23,3,45.09,40.25,194,473.73
"ST0330","BioTech","Canada",2000,24,5,297.14,35.31,332,614.98
"ST0331","FinTech","USA",2013,11,5,746.17,34.03,495,1928.64
"ST0332","CleanTech","USA",2008,16,4,41.5,34.57,460,250.56
"ST0333","FinTech","UK",2018,6,5,47.48,NA,208,762.97
"ST0334","SaaS","India",2013,11,6,276.87,163.45,391,1577.73
"ST0335","E-Commerce","Canada",2018,6,7,192.85,7.98,5,278.28
"ST0336","FinTech","UK",2021,3,2,109.09,6.69,280,589.3
"ST0337","BioTech","USA",2013,11,3,43.62,77.49,401,346.49
"ST0338","SaaS","Singapore",2013,11,2,48.3,9.59,58,247.56
"ST0339","SaaS","Brazil",2001,23,3,141.24,47.1,NA,374.97
"ST0340","E-Commerce","India",2009,15,3,70.27,26.57,NA,174.69
"ST0341","EdTech","Israel",2017,7,7,152.93,23.56,444,618.67
"ST0342","AI/ML","India",2000,24,6,545.7,13.25,169,2010.46
"ST0343","HealthTech","USA",2010,14,4,46.14,5.15,348,196.06
"ST0344","HealthTech","Germany",2010,14,4,44.61,11.61,264,139.46
"ST0345","SaaS","Germany",2009,15,5,468.45,NA,445,885.35
"ST0346","HealthTech","India",2021,3,5,166.24,6.81,317,714.76
"ST0347","AI/ML","Brazil",2002,22,8,112.28,44.52,419,1230.48
"ST0348","HealthTech","USA",2005,19,2,25.16,4.44,50,106.19
"ST0349","EdTech","Brazil",2017,7,4,258.69,73.43,401,693.63
"ST0350","E-Commerce","UK",2001,23,6,355.64,20.01,769,637.49
"ST0351","E-Commerce","USA",2011,13,4,217.45,NA,45,395.64
"ST0352","AI/ML","USA",2019,5,4,95.69,21.25,628,671.84
"ST0353","E-Commerce","USA",2001,23,6,430.69,28.73,332,811.96
"ST0354","BioTech","India",2020,4,4,64.55,13.91,467,217.85
"ST0355","E-Commerce","USA",2008,16,6,143.44,93,406,599.26
"ST0356","BioTech","India",2019,5,8,643.79,27.03,350,2562.36
"ST0357","FinTech","Brazil",2012,12,3,75.06,23.47,522,824.98
"ST0358","BioTech","UK",2010,14,8,329.54,24.88,612,703.08
"ST0359","CleanTech","UK",2008,16,4,90.75,100.09,306,240.05
"ST0360","SaaS","India",2015,9,2,61.75,5.87,174,237.96
"ST0361","E-Commerce","USA",2013,11,6,31.01,12.18,420,175.97
"ST0362","AI/ML","Germany",2013,11,3,215.52,16.96,406,1049.01
"ST0363","BioTech","UK",2004,20,6,268.13,75.69,428,986.21
"ST0364","FinTech","Singapore",2003,21,4,80.47,9.87,363,397.49
"ST0365","E-Commerce","Singapore",2012,12,3,91.33,16.19,225,418.74
"ST0366","BioTech","Germany",2014,10,2,83.38,7.13,NA,803.83
"ST0367","FinTech","USA",2020,4,8,739.14,1221.54,528,1932.18
"ST0368","EdTech","India",2002,22,1,35.26,15.09,589,106.42
"ST0369","HealthTech","Brazil",2013,11,5,128.12,26.66,121,359.12
"ST0370","FinTech","Brazil",2017,7,5,74.88,85.03,353,571.77
"ST0371","FinTech","USA",2004,20,7,714.43,52.03,551,1127.68
"ST0372","HealthTech","India",2015,9,6,181.21,10.6,608,591.02
"ST0373","FinTech","India",2020,4,6,181.36,24.82,598,757.44
"ST0374","E-Commerce","USA",2005,19,2,48.4,29.62,34,141.16
"ST0375","AI/ML","Israel",2011,13,6,674.23,92.78,417,2594.48
"ST0376","BioTech","USA",2017,7,5,87.61,7.6,98,230.78
"ST0377","CleanTech","Canada",2002,22,4,126.22,3.48,92,298.62
"ST0378","CleanTech","Canada",2005,19,3,81.97,24.69,683,249.79
"ST0379","SaaS","UK",2017,7,6,235.31,122.15,798,643.67
"ST0380","SaaS","India",2017,7,8,554.19,12.05,175,793.56
"ST0381","EdTech","Canada",2015,9,8,2053.6,24.55,538,941.96
"ST0382","E-Commerce","USA",2008,16,3,63.5,101.75,442,353.85
"ST0383","CleanTech","UK",2019,5,6,216.52,181.19,798,863.33
"ST0384","EdTech","USA",2016,8,7,793.4,15.31,403,933.22
"ST0385","SaaS","USA",2002,22,3,266.39,34.05,146,735.44
