"startup_id","industry","country","year_founded","years_since_founding","funding_rounds","total_funding_m","annual_revenue_m","team_size","valuation_m","log_valuation_m","log_total_funding_m","log_annual_revenue_m"
"ST0098","EdTech","Israel",2011,13,1,55.14,7,399.5,113.58,4.74127326898043,4.02784857093374,2.07944154167984
"ST0099","E-Commerce","Germany",2009,15,8,152.07,1.01,104,399.61,5.99298838547632,5.03089533310362,0.698134722070984
"ST0101","BioTech","Canada",2021,3,6,311.81,21.33,407,988.08,6.89677521813897,5.74559597746961,3.10593106585207
"ST0102","CleanTech","India",2018,6,8,201.13,125.71,616,514.59,6.2453118759972,5.30891105475891,4.84190101081082
"ST0103","EdTech","USA",2019,5,4,47.25,28.44,587,167.33,5.12592633843099,3.87639582778499,3.38235429386068
"ST0104","FinTech","Brazil",2014,10,7,724.99,50.39,680,2279.11,7.73197896639874,6.58753624062525,3.93944360100414
"ST0105","BioTech","Canada",2014,10,4,147.69,5.19,333,418.24,6.03844354830198,5.00186360170913,1.8229350866965
"ST0106","E-Commerce","USA",2000,24,7,216.87,49.79,567,571.59,6.35016992831312,5.38389855463824,3.92769948481315
"ST0107","HealthTech","India",2007,17,4,111.59,5.92,150,378.98,5.94011861975639,4.72375290181504,1.93441576962958
"ST0108","BioTech","USA",2008,16,4,94.89,69.39,614,415.63,6.03219853775601,4.56320170116559,4.25405120762004
"ST0109","BioTech","USA",2017,7,7,403.22,11.75,318,1498.14,7.31264688933857,6.00195928420062,2.54553127160444
"ST0110","FinTech","Singapore",2014,10,7,336,33.505,95,1163.07,7.05967776394024,5.82008293035236,3.54110424107256
"ST0112","AI/ML","UK",2012,12,6,337.16,13.66,527,1678.86,7.42646573559156,5.82351915625853,2.68512269645851
"ST0113","BioTech","Singapore",2013,11,4,156.07,87.75,747,539.55,6.29258713973878,5.05669156585494,4.48582342835553
"ST0114","AI/ML","Germany",2013,11,5,255.92,19.69,790,1703.38,7.44095668722225,5.54876475238959,3.02965049175745
"ST0115","FinTech","UK",2021,3,3,50.21,11.87,445,563.47,6.33588723780195,3.93593482547446,2.55489902160804
"ST0116","HealthTech","USA",2009,15,4,61.46,20.47,520,223.84,5.41538903813387,4.13452635185493,3.06665661189069
"ST0117","BioTech","Germany",2010,14,4,188.88,7.9,121,444.92,6.10013956373364,5.24639229368312,2.18605127673809
"ST0118","HealthTech","UK",2012,12,7,942.2,89.26,798,2522.34,7.83333869976782,6.84927834922316,4.50269439439885
"ST0119","HealthTech","India",2011,13,1,76.61,13.9,321,286.39,5.66084017832837,4.35169628486605,2.70136121295141
"ST0120","EdTech","UK",2014,10,6,451.09,9.16,460,500.55,6.21770330332949,6.11388127505571,2.31845844215034
"ST0121","SaaS","Germany",2019,5,2,21.28,33.1,399.5,225.35,5.42208247388197,3.10368941505908,3.52929738428947
"ST0122","BioTech","Canada",2007,17,2,138.18,12.72,636,697.29,6.54863448925683,4.9357680594167,2.61885462229774
"ST0123","CleanTech","UK",2017,7,3,397.08,31.6,276,564.49,6.33769261193386,5.98665299011076,3.48431228837266
"ST0124","BioTech","India",2016,8,2,57,28,344,192.17,5.2635706302182,4.06044301054642,3.36729582998647
"ST0125","SaaS","UK",2017,7,5,147.08,7.06,292,607.16,6.41043800524094,4.99775266826524,2.08691355651854
"ST0126","EdTech","USA",2019,5,3,68.82,22.52,641,301.23,5.71118831691679,4.24592050167689,3.15785112303043
"ST0127","SaaS","India",2002,22,4,73.95,21.12,309,407.22,6.0118062447659,4.31682122454861,3.09648217665413
"ST0128","HealthTech","UK",2011,13,2,46.14,22.66,363,180.17,5.19943581698792,3.85312189750799,3.16378585855024
"ST0129","CleanTech","Germany",2001,23,3,34.02,25.48,488,230.54,5.44475264477758,3.55591932685771,3.27638973106881
"ST0130","CleanTech","USA",2008,16,5,163.75,25.43,476,554.34,6.31958053878854,5.10442917338262,3.2744997286162
"ST0131","BioTech","UK",2020,4,5,254.38,8.88,664,878.3,6.77912613638496,5.54275263199654,2.29051251175978
"ST0133","EdTech","UK",2016,8,4,164.49,5.04,196,390.42,5.96978115227682,5.10891077003085,1.79840401194672
"ST0134","EdTech","UK",2003,21,7,948.8,109.66,486,832.14,6.72520169527202,6.85625143611502,4.70646243746996
"ST0136","HealthTech","USA",2001,23,6,42.4,6.87,32,137.7,4.93231332732079,3.77045944110636,2.06305806242931
"ST0137","E-Commerce","India",2001,23,3,227.5,3.65,240,320.25,5.77221963620943,5.43153621033426,1.53686721959926
"ST0139","SaaS","USA",2000,24,5,135.41,35.45,505,482.05,6.18012016796352,4.91566505650503,3.59594145845467
"ST0141","E-Commerce","USA",2021,3,6,61.42,3.97,515,271.19,5.60650035184965,4.13388573684263,1.60341984010854
"ST0142","FinTech","USA",2012,12,3,163.49,33.505,287,812.9,6.701837508333,5.10284977808407,3.54110424107256
"ST0143","FinTech","Singapore",2017,7,3,161.65,0.35,5,641.09,6.46472848078058,5.09160065291936,0.300104592450338
"ST0144","HealthTech","UK",2020,4,7,289.68,12.17,44,381.39,5.9464410302077,5.67222300574844,2.57794151575519
"ST0145","CleanTech","USA",2000,24,6,79.22,35.3,341,241.41,5.49063050746964,4.38477286034191,3.5918177412708
"ST0146","AI/ML","India",2007,17,6,164.76,36.35,216,1098.41,7.00252895125567,5.11054095907112,3.62033291157883
"ST0147","CleanTech","USA",2003,21,6,80.41,25.43,5,131.42,4.8859786894967,4.39949811558589,3.2744997286162
"ST0148","BioTech","Singapore",2014,10,4,71.56,85.22,540,469.31,6.15339205174855,4.28441380580688,4.45690216931899
"ST0149","SaaS","Germany",2015,9,4,1141.7,26.045,397,1660.04,7.41519919120172,7.04114916215267,3.29750214532339
"ST0150","BioTech","Germany",2006,18,3,58.25,34.53,533,558.33,6.32673963886572,4.08176578001524,3.57037741003294
"ST0152","EdTech","India",2009,15,1,80.17,3.05,413,129.81,4.87374588870014,4.39654572077308,1.39871688111845
"ST0153","FinTech","USA",2003,21,6,651.59,6.54,273,1192.95,7.08502241702882,6.48094906071972,2.02022218201986
"ST0154","HealthTech","UK",2015,9,4,201.33,81.34,329,627.51,6.44335193880269,5.3099000277911,4.41085701634176
"ST0155","SaaS","Israel",2005,19,4,574.91,110.71,675,1662.16,7.41647468623055,6.35595139848759,4.71590622758276
"ST0157","HealthTech","USA",2010,14,5,523.21,22.61,165,952.01,6.85962539677858,6.26189236739564,3.16167035109742
"ST0160","BioTech","USA",2015,9,6,129.16,388.4,798,1007.87,6.91658617161689,4.86876446291078,5.9646070929381
"ST0162","BioTech","Brazil",2006,18,5,40.18,10.14,191,624.71,6.43888700497665,3.71795270159964,2.41054223449914
"ST0163","FinTech","Singapore",2004,20,7,205.59,40.8,106,1056.15,6.96333188687088,5.33073615280354,3.73289633953071
"ST0164","CleanTech","Singapore",2011,13,4,346.59,34.71,622,848.41,6.74454199082612,5.85102362427776,3.57543076160636
"ST0167","E-Commerce","India",2009,15,3,21.22,24.27,329,168.49,5.13279392802996,3.10099278421148,3.2296179214001
"ST0168","AI/ML","Singapore",2002,22,8,181.79,47.05,519,1596.29,7.37606372221161,5.20833795292851,3.8722421354163
"ST0169","BioTech","India",2011,13,2,132.96,25.56,179,650.28,6.47893965726572,4.897541247926,3.27940632460823
"ST0170","SaaS","USA",2009,15,6,531.18,160.08,196,1171.87,7.06720901557224,6.27698177798025,5.08190113598325
"ST0171","CleanTech","USA",2019,5,6,176.91,55.79,603,417.21,6.03598369871247,5.18127780444668,4.03936025388934
"ST0173","CleanTech","Singapore",2009,15,2,43.13,25.43,435,238.32,5.47780156852183,3.78713982328146,3.2744997286162
"ST0174","SaaS","Brazil",2007,17,7,559.42,12.49,388,1227.77,7.11376894803288,6.32868650261974,2.60194867021966
"ST0176","CleanTech","Israel",2010,14,3,165.9,8.33,5,619.15,6.42996138426134,5.11739483066779,2.23323501485925
"ST0177","CleanTech","India",2018,6,2,64.71,56.5,218,336.35,5.82112096707343,4.18525112090978,4.0517849478033
"ST0178","BioTech","India",2004,20,7,884.35,40.9,684,1892.05,7.5459445639614,6.78598304705223,3.73528582692809
"ST0179","HealthTech","Germany",2009,15,3,126.02,13.09,317,785.44,6.66751643223929,4.84434455437483,2.64546532591059
"ST0180","E-Commerce","USA",2003,21,6,375.08,24.27,278,680.31,6.52401741549372,5.92980188671588,3.2296179214001
"ST0182","E-Commerce","Canada",2019,5,2,37.69,13.09,5,159.59,5.0788545330734,3.65558116871242,2.64546532591059
"ST0183","BioTech","USA",2016,8,3,200.1,44.25,524,680.69,6.52457500905182,5.30380229677861,3.81220267014594
"ST0184","EdTech","India",2002,22,5,127.78,17.26,221,404.84,6.00595899325843,4.85810552211004,2.90471287516682
"ST0185","HealthTech","Germany",2001,23,4,75.85,40.11,616,254.04,5.54142039560185,4.3418554699846,3.71625140090979
"ST0186","EdTech","UK",2021,3,4,19.25,0.1,547,113.08,4.73689995666599,3.00815479355255,0.0953101798043249
"ST0188","E-Commerce","India",2016,8,6,186.19,35.25,372,451.23,6.11419089996972,5.23212414381324,3.59043938130068
"ST0189","SaaS","Israel",2021,3,5,71.74,4.9,421,414.48,6.02943447835961,4.28689143955884,1.77495235091167
"ST0190","EdTech","USA",2008,16,4,11.03,26.54,349,61.31,4.13212192655613,2.48740352998659,3.31563949330051
"ST0191","E-Commerce","Singapore",2008,16,6,238.58,3.71,314,400.67,5.9956308559774,5.47888739030318,1.54968790802833
"ST0192","E-Commerce","UK",2005,19,4,184.26,0.78,97,293.06,5.68378382814951,5.22176024382588,0.576613364303994
"ST0193","AI/ML","UK",2017,7,5,402.78,23.32,594,2466.07,7.81078649067079,6.00087017518208,3.19129905709797
"ST0194","EdTech","USA",2003,21,4,82.7,1.52,289,210.83,5.35578406619637,4.42723897749543,0.924258901523332
"ST0195","CleanTech","India",2016,8,5,82.76,9.72,166,348.05,5.85521517841641,4.42795556656228,2.37211115564266
"ST0196","E-Commerce","UK",2004,20,6,896.52,24.27,399.5,936.51,6.84322742445434,6.79963540423671,3.2296179214001
"ST0198","EdTech","Brazil",2007,17,7,112.66,5.4,5,182.52,5.21232365338106,4.73321153586898,1.85629799036563
"ST0199","E-Commerce","USA",2014,10,8,815.38,20.45,532,1477.54,7.29881039337364,6.70487993284042,3.06572464537403
"ST0200","EdTech","USA",2021,3,3,213.34,33.71,259,394.77,5.98083323443932,5.36756353928485,3.5470278298737
"ST0201","SaaS","USA",2011,13,3,21.23,12.27,236,186.32,5.23281838431534,3.10144272797611,2.58550584834412
"ST0202","E-Commerce","USA",2021,3,5,207.3,35.57,421,451.1,6.11390339430056,5.33897934826693,3.59922823216129
"ST0203","BioTech","Israel",2016,8,4,546.87,19.75,303,935.52,6.84217087776929,6.30603803252804,3.03254624667671
"ST0204","EdTech","India",2019,5,8,967.2,19.61,736,1376.11,7.22774237934349,6.87543867750559,3.02577639490237
"ST0205","CleanTech","Germany",2001,23,3,88.97,12,35,328.01,5.79608814544023,4.49947628142903,2.56494935746154
"ST0206","HealthTech","UK",2012,12,4,116.25,1.37,300,436.89,6.08196773728261,4.76430840732639,0.86288995514704
"ST0207","FinTech","USA",2004,20,6,22.41,46.93,279,312.88,5.74901074725927,3.15316328150282,3.86974161317154
"ST0208","E-Commerce","India",2020,4,4,188.34,24.59,193,485.94,6.18814091220702,5.24354434070074,3.2422016501717
"ST0209","FinTech","India",2018,6,3,137.66,43.69,534,849.9,6.74629461285551,4.93202489351434,3.79974976294536
"ST0210","HealthTech","India",2011,13,4,101.97,4.65,253,343.31,5.84154241436069,4.63443768366866,1.73165554515835
"ST0211","AI/ML","Brazil",2012,12,2,39.26,15.03,216,280.07,5.63860374863121,3.69535842021165,2.77446196662146
"ST0214","BioTech","USA",2019,5,4,314.63,30.19,401,1317.8,7.18447751119758,5.75457064148831,3.44009753061971
"ST0216","E-Commerce","USA",2017,7,6,137.91,24.27,399.5,311.39,5.74425240720991,4.9338262414093,3.2296179214001
"ST0217","AI/ML","USA",2007,17,5,708.23,51.32,698,3283.9,8.09709148905506,6.56417987448982,3.95737870714894
"ST0218","E-Commerce","USA",2018,6,6,148.88,47.59,446,365.82,5.90487126452289,5.00983497392549,3.88341774841781
"ST0219","FinTech","India",2004,20,2,186.9,2.49,275,1047.95,6.95554494281799,5.23590990641942,1.24990173621434
"ST0220","HealthTech","Germany",2008,16,3,74.87,2.88,60,361.53,5.89310722949111,4.32902134934998,1.35583515363518
"ST0221","FinTech","India",2016,8,4,312.17,181.91,706,1024.14,6.93258446761143,5.74674617408832,5.20899422858783
"ST0222","EdTech","USA",2001,23,5,155.6,12.72,623,426.87,6.05881941112621,5.0536947835567,2.61885462229774
"ST0224","E-Commerce","USA",2007,17,3,132.66,26.64,509,446.06,6.10269281379369,4.89529926208292,3.31926399889947
"ST0225","CleanTech","Israel",2013,11,4,50.68,25.43,534,251.32,5.53069812321473,3.94507085947435,3.2744997286162
"ST0226","AI/ML","USA",2010,14,3,109.22,452.71,482,770.49,6.64832370995641,4.70247836845509,6.11745822742327
"ST0227","E-Commerce","Singapore",2015,9,5,218.43,49.45,478,506.83,6.23014674590283,5.39103327504778,3.92098274679962
"ST0228","FinTech","Brazil",2003,21,4,160.65,33.505,399.5,701.87,6.55517195294666,5.08543350417144,3.54110424107256
"ST0229","HealthTech","USA",2010,14,7,125.73,9.69,9,398.55,5.99033891382047,4.84205883909397,2.36930872503695
"ST0232","HealthTech","USA",2012,12,6,359.67,16.59,388,1106.19,7.00958055303071,5.88796341283979,2.86733055874947
"ST0233","FinTech","USA",2017,7,2,91.59,2.14,440,445.54,6.10152898197029,4.52818114445996,1.14422279992016
"ST0234","EdTech","Germany",2019,5,1,225.54,5.93,376,313.81,5.75196928223948,5.42292152977257,1.93585981320181
"ST0235","FinTech","USA",2016,8,3,132.14,29.35,308,791.39,6.67505369485582,4.89140120617256,3.41279651750551
"ST0236","E-Commerce","USA",2017,7,3,296.89,12.55,421,390.74,5.9705983544266,5.69672429084429,2.60638654732571
"ST0237","BioTech","USA",2008,16,5,438.24,15.37,374,1777.22,7.48336814295255,6.08504596072951,2.79545039138304
"ST0238","CleanTech","India",2003,21,5,151.45,9.15,258,447.86,6.10671103511237,5.02683667343426,2.3174737054878
"ST0239","BioTech","USA",2010,14,6,235.63,64.91,789,945.04,6.85228485145606,5.46649773978696,4.18829017506463
"ST0240","CleanTech","India",2003,21,3,54.68,9.08,353,522.22,6.26000202571208,4.01962101602616,2.31055326264322
"ST0241","SaaS","USA",2006,18,2,146.85,23.48,145,381.68,5.94719913080997,4.99619824629849,3.19785645764413
"ST0242","E-Commerce","USA",2001,23,7,153.62,186.68,665,471.61,6.1582705240719,5.04097049389233,5.23473838490517
"ST0243","CleanTech","Canada",2003,21,5,435.33,17.58,314,714.42,6.57286978282218,6.07839883779321,2.92208573338569
"ST0244","AI/ML","Germany",2014,10,5,402.33,3.64,227,637.61,6.4592939394127,5.99975508542572,1.53471436623816
"ST0245","EdTech","USA",2020,4,3,34.42,0.1,154,143.08,4.9703687008677,3.56727663235469,0.0953101798043249
"ST0246","SaaS","India",2007,17,6,1772.72,165.07,575,2151.61,7.67443633836433,7.48083431501198,5.11240938621866
"ST0247","AI/ML","USA",2005,19,6,870.16,19.51,524,2601.47,7.86421627304516,6.76982565688241,3.02091257208429
"ST0249","FinTech","Germany",2016,8,6,263.97,9.53,399.5,1071.98,6.978195103128,5.57961661203059,2.35422832614588
"ST0251","E-Commerce","Canada",2012,12,2,24.59,1.7,223,131.85,4.88922067220582,3.2422016501717,0.993251773010283
"ST0252","BioTech","USA",2006,18,3,144.67,19.69,302,716.2,6.57535474173098,4.98134378946086,3.02965049175745
"ST0253","HealthTech","UK",2014,10,3,184.8,14.11,487,453.8,6.11985776187638,5.22467082637974,2.71535677628465
"ST0255","HealthTech","UK",2001,23,5,234.89,1.74,63,288.64,5.66863877252062,5.46336559467153,1.00795792039998
"ST0256","E-Commerce","Canada",2006,18,3,68.97,21.19,359,168.71,5.13409109802317,4.2480665787578,3.0996417369445
"ST0257","HealthTech","USA",2019,5,3,195.79,16.84,459,652.3,6.4820364418467,5.282137170319,2.88144312715186
"ST0259","SaaS","India",2002,22,4,64.6,26.045,561,300.77,5.70966513781436,4.18357569595004,3.29750214532339
"ST0260","SaaS","India",2006,18,3,167.02,40.65,254,906.5,6.81069356613901,5.1240830199367,3.72930136861285
"ST0261","HealthTech","Germany",2014,10,8,1106.35,16.455,485,1494.92,7.31049668116871,7.00972505256585,2.859626140557
"ST0262","EdTech","UK",2011,13,5,221.8,792.39,651,758.91,6.63320000521542,5.40627450805313,6.67631490401794
"ST0263","AI/ML","USA",2014,10,6,693.87,35.12,399.5,2315.15,7.74766160343498,6.54372477770898,3.58684672854878
"ST0264","E-Commerce","USA",2006,18,3,26.36,5.66,363,169.78,5.14037617847946,3.30908209275435,1.8961194845523
"ST0265","FinTech","India",2019,5,7,90.21,35.81,404,496.23,6.2090526957085,4.51316454019207,3.60576954739093
"ST0266","HealthTech","USA",2001,23,5,198.58,47.35,175,674.72,6.51577878905453,5.29621515845617,3.8784662218993
"ST0267","FinTech","Canada",2011,13,6,295.75,42.87,264,929.2,6.83539961679,5.69289003348978,3.78123071517812
"ST0268","EdTech","USA",2000,24,5,124.7,1.51,326,261.21,5.56914570942766,4.8338981155962,0.920282753143693
"ST0269","EdTech","USA",2006,18,1,13.1,0.1,177,35.38,3.59401917308998,2.64617479738412,0.0953101798043249
"ST0270","E-Commerce","Singapore",2019,5,5,307,24.27,461,666.88,6.50410851668076,5.73009978297357,3.2296179214001
"ST0271","EdTech","USA",2008,16,5,262.15,214.31,620,707.09,6.5625712042589,5.57272421179979,5.37207885011009
"ST0272","E-Commerce","USA",2002,22,3,150.89,13.02,308,197.6,5.29129275161107,5.02315657464993,2.64048488160644
"ST0273","E-Commerce","Germany",2013,11,2,122.27,55.01,293,172.92,5.1585954233729,4.81437707156343,4.02553024622174
"ST0274","E-Commerce","USA",2017,7,6,100.26,18.93,399.5,303.44,5.71847402339919,4.61769146654176,2.9922261342247
"ST0275","EdTech","Canada",2003,21,4,32.35,55.78,357,153.78,5.04200475384231,3.50705777236163,4.03918415104483
"ST0276","SaaS","USA",2015,9,8,557.93,158.5,703,1197.5,7.08882605387444,6.32602424170037,5.0720439222249
"ST0277","AI/ML","USA",2019,5,4,302.84,13.15,73,698.51,6.55038008992901,5.71650124706398,2.64971462408925
"ST0279","AI/ML","UK",2014,10,7,737.72,30.08,235,2000.58,7.60169214765633,6.60491895875868,3.43656452549945
"ST0280","SaaS","USA",2021,3,6,728.16,50.61,642,1386.41,7.23519397865191,6.59189318666472,3.94371545216064
"ST0281","CleanTech","Brazil",2015,9,6,315.98,3.7,211,811.42,6.70001744781778,5.75883868040428,1.54756250871601
